ID,Folder,Level1,Level2,Level3,Level4,Full Path
1,1_흰밥,간편식,밥류,즉석밥,흰밥,간편식 > 밥류 > 즉석밥 > 흰밥
2,2_흑미,간편식,밥류,즉석밥,흑미,간편식 > 밥류 > 즉석밥 > 흑미
3,3_잡곡,간편식,밥류,즉석밥,잡곡,간편식 > 밥류 > 즉석밥 > 잡곡
4,4_현미,간편식,밥류,즉석밥,현미,간편식 > 밥류 > 즉석밥 > 현미
5,5_렌틸콩현미,간편식,밥류,즉석밥,렌틸콩현미,간편식 > 밥류 > 즉석밥 > 렌틸콩현미
6,6_채소영양,간편식,밥류,즉석밥,채소영양,간편식 > 밥류 > 즉석밥 > 채소영양
7,7_버섯영양,간편식,밥류,즉석밥,버섯영양,간편식 > 밥류 > 즉석밥 > 버섯영양
8,8_스팸김치,간편식,밥류,덮밥,스팸김치,간편식 > 밥류 > 덮밥 > 스팸김치
9,9_참치마요,간편식,밥류,덮밥,참치마요,간편식 > 밥류 > 덮밥 > 참치마요
10,10_치킨마요,간편식,밥류,덮밥,치킨마요,간편식 > 밥류 > 덮밥 > 치킨마요
11,11_팥죽,간편식,밥류,죽,팥죽,간편식 > 밥류 > 죽 > 팥죽
12,12_야채죽,간편식,밥류,죽,야채죽,간편식 > 밥류 > 죽 > 야채죽
13,13_소고기죽,간편식,밥류,죽,소고기죽,간편식 > 밥류 > 죽 > 소고기죽
14,14_전복죽,간편식,밥류,죽,전복죽,간편식 > 밥류 > 죽 > 전복죽
15,15_햄,간편식,통조림,햄,햄,간편식 > 통조림 > 햄 > 햄
16,16_닭,간편식,통조림,햄,닭,간편식 > 통조림 > 햄 > 닭
17,17_일반참치,간편식,통조림,참치,일반참치,간편식 > 통조림 > 참치 > 일반참치
18,18_고추참치,간편식,통조림,참치,고추참치,간편식 > 통조림 > 참치 > 고추참치
19,19_꽁치,간편식,통조림,참치,꽁치,간편식 > 통조림 > 참치 > 꽁치
20,20_고등어,간편식,통조림,참치,고등어,간편식 > 통조림 > 참치 > 고등어
21,21_파인애플,간편식,통조림,과일,파인애플,간편식 > 통조림 > 과일 > 파인애플
22,22_황도,간편식,통조림,과일,황도,간편식 > 통조림 > 과일 > 황도
23,23_후르츠칵테일,간편식,통조림,과일,후르츠칵테일,간편식 > 통조림 > 과일 > 후르츠칵테일
24,24_스위트콘,간편식,통조림,과일,스위트콘,간편식 > 통조림 > 과일 > 스위트콘
25,25_카레,간편식,카레/짜장/덮밥,카레,카레,간편식 > 카레/짜장/덮밥 > 카레 > 카레
26,26_짜장,간편식,카레/짜장/덮밥,짜장,짜장,간편식 > 카레/짜장/덮밥 > 짜장 > 짜장
27,27_마파두부,간편식,카레/짜장/덮밥,마파두부,마파두부,간편식 > 카레/짜장/덮밥 > 마파두부 > 마파두부
28,28_곰탕류,간편식,국/찌개,곰탕류,곰탕류,간편식 > 국/찌개 > 곰탕류 > 곰탕류
29,29_미역국,간편식,국/찌개,미역국,미역국,간편식 > 국/찌개 > 미역국 > 미역국
30,30_육개장,간편식,국/찌개,육개장,육개장,간편식 > 국/찌개 > 육개장 > 육개장
31,31_청국장,간편식,국/찌개,청국장,청국장,간편식 > 국/찌개 > 청국장 > 청국장
32,32_추어탕,간편식,국/찌개,추어탕,추어탕,간편식 > 국/찌개 > 추어탕 > 추어탕
33,33_삼계탕,간편식,국/찌개,삼계탕,삼계탕,간편식 > 국/찌개 > 삼계탕 > 삼계탕
34,34_무국,간편식,국/찌개,무국,무국,간편식 > 국/찌개 > 무국 > 무국
35,35_황태국,간편식,국/찌개,황태국,황태국,간편식 > 국/찌개 > 황태국 > 황태국
36,36_갈비탕,간편식,국/찌개,갈비탕,갈비탕,간편식 > 국/찌개 > 갈비탕 > 갈비탕
37,37_순두부찌개,간편식,국/찌개,순두부찌개,순두부찌개,간편식 > 국/찌개 > 순두부찌개 > 순두부찌개
38,38_부대찌개,간편식,국/찌개,부대찌개,부대찌개,간편식 > 국/찌개 > 부대찌개 > 부대찌개
39,39_버섯류,간편식,수프,버섯류,버섯류,간편식 > 수프 > 버섯류 > 버섯류
40,40_옥수수류,간편식,수프,옥수수류,옥수수류,간편식 > 수프 > 옥수수류 > 옥수수류
41,41_라면,간편식,면,라면,라면,간편식 > 면 > 라면 > 라면
42,42_짜파게티,간편식,면,짜파게티,짜파게티,간편식 > 면 > 짜파게티 > 짜파게티
43,43_비빔면,간편식,면,비빔면,비빔면,간편식 > 면 > 비빔면 > 비빔면
44,44_칼국수,간편식,면,칼국수,칼국수,간편식 > 면 > 칼국수 > 칼국수
45,45_물냉면,간편식,면,물냉면,물냉면,간편식 > 면 > 물냉면 > 물냉면
46,46_비빔냉면,간편식,면,비빔냉면,비빔냉면,간편식 > 면 > 비빔냉면 > 비빔냉면
47,47_소바,간편식,면,소바,소바,간편식 > 면 > 소바 > 소바
48,48_우동,간편식,면,우동,우동,간편식 > 면 > 우동 > 우동
49,49_고기만두,냉동식,만두,고기만두,고기만두,냉동식 > 만두 > 고기만두 > 고기만두
50,50_김치만두,냉동식,만두,김치만두,김치만두,냉동식 > 만두 > 김치만두 > 김치만두
51,51_새우만두,냉동식,만두,새우만두,새우만두,냉동식 > 만두 > 새우만두 > 새우만두
52,52_빨간떡볶이,냉동식,떡볶이,빨간떡볶이,빨간떡볶이,냉동식 > 떡볶이 > 빨간떡볶이 > 빨간떡볶이
53,53_크림떡볶이,냉동식,떡볶이,크림떡볶이,크림떡볶이,냉동식 > 떡볶이 > 크림떡볶이 > 크림떡볶이
54,54_짜장떡볶이,냉동식,떡볶이,짜장떡볶이,짜장떡볶이,냉동식 > 떡볶이 > 짜장떡볶이 > 짜장떡볶이
55,55_허니치킨,냉동식,치킨,허니치킨,허니치킨,냉동식 > 치킨 > 허니치킨 > 허니치킨
56,56_양념치킨,냉동식,치킨,양념치킨,양념치킨,냉동식 > 치킨 > 양념치킨 > 양념치킨
57,57_핫도그,냉동식,핫도그,핫도그,핫도그,냉동식 > 핫도그 > 핫도그 > 핫도그
58,58_피자,냉동식,피자,피자,피자,냉동식 > 피자 > 피자 > 피자
59,59_감자튀김,냉동식,감자튀김,감자튀김,감자튀김,냉동식 > 감자튀김 > 감자튀김 > 감자튀김
60,60_돈까스,냉동식,돈까스,돈까스,돈까스,냉동식 > 돈까스 > 돈까스 > 돈까스
61,61_치즈볼,냉동식,치즈볼,치즈볼,치즈볼,냉동식 > 치즈볼 > 치즈볼 > 치즈볼
62,62_치즈스틱,냉동식,치즈스틱,치즈스틱,치즈스틱,냉동식 > 치즈스틱 > 치즈스틱 > 치즈스틱
63,63_동그랑땡,냉동식,동그랑땡,동그랑땡,동그랑땡,냉동식 > 동그랑땡 > 동그랑땡 > 동그랑땡
