id,folder,our_category,new_code,new_category,similarity,confidence
1,1_흰밥,간편식 > 밥류 > 즉석밥 > 흰밥,6226728,음료/과자/가공식품 > 우유 > 일반우유 > 흰우유,37.12%,low
2,2_흑미,간편식 > 밥류 > 즉석밥 > 흑미,6226750,음료/과자/가공식품 > 조미료/소스/분말류 > 물엿/식초/액젓 > 미림,40.49%,low
3,3_잡곡,간편식 > 밥류 > 즉석밥 > 잡곡,6226442,쌀/과일/농수축산물 > 혼합곡/잡곡류 > 잡곡기타,45.07%,low
4,4_현미,간편식 > 밥류 > 즉석밥 > 현미,6224676,건강용품/실버/비데 > 병원/전문의료용품 > 인체모형/해부도 > 현미경,51.38%,medium
5,5_렌틸콩현미,간편식 > 밥류 > 즉석밥 > 렌틸콩현미,6224676,건강용품/실버/비데 > 병원/전문의료용품 > 인체모형/해부도 > 현미경,35.82%,low
6,6_채소영양,간편식 > 밥류 > 즉석밥 > 채소영양,6226740,음료/과자/가공식품 > 전통/건강음료 > 영양식,43.14%,low
7,7_버섯영양,간편식 > 밥류 > 즉석밥 > 버섯영양,6226740,음료/과자/가공식품 > 전통/건강음료 > 영양식,43.14%,low
8,8_스팸김치,간편식 > 밥류 > 덮밥 > 스팸김치,6226203,쌀/과일/농수축산물 > 김치 > 별미김치 > 무김치,42.32%,low
9,9_참치마요,간편식 > 밥류 > 덮밥 > 참치마요,6226278,쌀/과일/농수축산물 > 생선류 > 참치/메로 > 참치,44.35%,low
10,10_치킨마요,간편식 > 밥류 > 덮밥 > 치킨마요,6235899,모바일쿠폰/선물하기 > 피자/치킨/배달 > 치킨,43.77%,low
11,11_팥죽,간편식 > 밥류 > 죽 > 팥죽,6226813,음료/과자/가공식품 > 즉석/카레/덮밥 > 죽,49.27%,low
12,12_야채죽,간편식 > 밥류 > 죽 > 야채죽,6226813,음료/과자/가공식품 > 즉석/카레/덮밥 > 죽,40.64%,low
13,13_소고기죽,간편식 > 밥류 > 죽 > 소고기죽,6230425,미러리스/DSLR/디카 > DSLR > 캐논 > 고급기,42.04%,low
14,14_전복죽,간편식 > 밥류 > 죽 > 전복죽,6226423,쌀/과일/농수축산물 > 해산물/어패류 > 전복,52.56%,medium
15,15_햄,간편식 > 통조림 > 햄 > 햄,6226665,음료/과자/가공식품 > 식자재 > 냉장/냉동식품 > 햄,63.29%,medium
16,16_닭,간편식 > 통조림 > 햄 > 닭,6226893,음료/과자/가공식품 > 통조림/캔/잼 > 참치/닭가슴살캔 > 닭가슴살,38.35%,low
17,17_일반참치,간편식 > 통조림 > 참치 > 일반참치,6226278,쌀/과일/농수축산물 > 생선류 > 참치/메로 > 참치,48.93%,low
18,18_고추참치,간편식 > 통조림 > 참치 > 고추참치,6226278,쌀/과일/농수축산물 > 생선류 > 참치/메로 > 참치,48.93%,low
19,19_꽁치,간편식 > 통조림 > 참치 > 꽁치,6226879,음료/과자/가공식품 > 통조림/캔/잼 > 고등어/꽁치/생선캔류 > 꽁치,69.63%,medium
20,20_고등어,간편식 > 통조림 > 참치 > 고등어,6226263,쌀/과일/농수축산물 > 생선류 > 고등어,62.86%,medium
21,21_파인애플,간편식 > 통조림 > 과일 > 파인애플,6226319,쌀/과일/농수축산물 > 수입과일 > 파인애플,66.00%,medium
22,22_황도,간편식 > 통조림 > 과일 > 황도,6226884,음료/과자/가공식품 > 통조림/캔/잼 > 과일잼 > 포도잼,41.90%,low
23,23_후르츠칵테일,간편식 > 통조림 > 과일 > 후르츠칵테일,6226898,음료/과자/가공식품 > 통조림/캔/잼 > 프루트칵테일,43.08%,low
24,24_스위트콘,간편식 > 통조림 > 과일 > 스위트콘,6221018,여성의류 > 명품 여성의류 > 스커트,41.74%,low
25,25_카레,간편식 > 카레/짜장/덮밥 > 카레 > 카레,6226818,음료/과자/가공식품 > 즉석/카레/덮밥 > 즉석카레/짜장 > 카레,72.08%,high
26,26_짜장,간편식 > 카레/짜장/덮밥 > 짜장 > 짜장,6226579,음료/과자/가공식품 > 라면/면류 > 짜장/짬뽕/중국면 > 짜장,68.33%,medium
27,27_마파두부,간편식 > 카레/짜장/덮밥 > 마파두부 > 마파두부,6221414,구두/여성화/남성화 > 부츠/레인부츠 > 마부츠,38.57%,low
28,28_곰탕류,간편식 > 국/찌개 > 곰탕류 > 곰탕류,6226663,음료/과자/가공식품 > 식자재 > 냉장/냉동식품 > 탕/찌개류,36.65%,low
29,29_미역국,간편식 > 국/찌개 > 미역국 > 미역국,6239008,도서/음반/DVD > 역사 > 서양사 > 미국사,43.33%,low
30,30_육개장,간편식 > 국/찌개 > 육개장 > 육개장,6226688,음료/과자/가공식품 > 식자재 > 액상양념/소스 > 육수/장국,38.79%,low
31,31_청국장,간편식 > 국/찌개 > 청국장 > 청국장,6226226,쌀/과일/농수축산물 > 된장/고추장/장류 > 청국장,62.00%,medium
32,32_추어탕,간편식 > 국/찌개 > 추어탕 > 추어탕,6226583,음료/과자/가공식품 > 만두/탕/간편조리식 > 곰탕/추어탕/즉석탕,37.53%,low
33,33_삼계탕,간편식 > 국/찌개 > 삼계탕 > 삼계탕,6226213,쌀/과일/농수축산물 > 닭고기 > 삼계탕/생닭 > 삼계탕,66.98%,medium
34,34_무국,간편식 > 국/찌개 > 무국 > 무국,6226397,쌀/과일/농수축산물 > 채소/나물류 > 무,44.50%,low
35,35_황태국,간편식 > 국/찌개 > 황태국 > 황태국,6239347,도서/음반/DVD > 온라인강의 > 제2외국어 > 태국어,46.92%,low
36,36_갈비탕,간편식 > 국/찌개 > 갈비탕 > 갈비탕,6226290,쌀/과일/농수축산물 > 쇠고기 > LA갈비/찜갈비 > 찜갈비,47.52%,low
37,37_순두부찌개,간편식 > 국/찌개 > 순두부찌개 > 순두부찌개,6226904,음료/과자/가공식품 > 쿠킹박스 > 찌개/국,36.10%,low
38,38_부대찌개,간편식 > 국/찌개 > 부대찌개 > 부대찌개,6226904,음료/과자/가공식품 > 쿠킹박스 > 찌개/국,39.33%,low
39,39_버섯류,간편식 > 수프 > 버섯류 > 버섯류,6226365,쌀/과일/농수축산물 > 채소/나물류 > 버섯류,63.33%,medium
40,40_옥수수류,간편식 > 수프 > 옥수수류 > 옥수수류,6226505,음료/과자/가공식품 > 녹차/차음료/전통차 > 옥수수수염차/헛개차 > 옥수수차,55.35%,medium
41,41_라면,간편식 > 면 > 라면 > 라면,6226569,음료/과자/가공식품 > 라면/면류 > 컵라면,59.17%,medium
42,42_짜파게티,간편식 > 면 > 짜파게티 > 짜파게티,6223311,침구/커튼/장식소품 > 수납소품 > 파티션,43.92%,low
43,43_비빔면,간편식 > 면 > 비빔면 > 비빔면,6226578,음료/과자/가공식품 > 라면/면류 > 비빔면,68.43%,medium
44,44_칼국수,간편식 > 면 > 칼국수 > 칼국수,6226568,음료/과자/가공식품 > 라면/면류 > 칼국수,68.43%,medium
45,45_물냉면,간편식 > 면 > 물냉면 > 물냉면,6226559,음료/과자/가공식품 > 라면/면류 > 냉면,57.36%,medium
46,46_비빔냉면,간편식 > 면 > 비빔냉면 > 비빔냉면,6226578,음료/과자/가공식품 > 라면/면류 > 비빔면,60.60%,medium
47,47_소바,간편식 > 면 > 소바 > 소바,6226582,음료/과자/가공식품 > 라면/면류 > 메밀/소바,45.60%,low
48,48_우동,간편식 > 면 > 우동 > 우동,6226576,음료/과자/가공식품 > 라면/면류 > 우동,68.08%,medium
49,49_고기만두,냉동식 > 만두 > 고기만두 > 고기만두,6226588,음료/과자/가공식품 > 만두/탕/간편조리식 > 만두/딤섬류 > 손만두,42.65%,low
50,50_김치만두,냉동식 > 만두 > 김치만두 > 김치만두,6226588,음료/과자/가공식품 > 만두/탕/간편조리식 > 만두/딤섬류 > 손만두,42.65%,low
51,51_새우만두,냉동식 > 만두 > 새우만두 > 새우만두,6226351,쌀/과일/농수축산물 > 젓갈류/액젓 > 새우,43.77%,low
52,52_빨간떡볶이,냉동식 > 떡볶이 > 빨간떡볶이 > 빨간떡볶이,6226586,음료/과자/가공식품 > 만두/탕/간편조리식 > 떡볶이/라볶이,37.39%,low
53,53_크림떡볶이,냉동식 > 떡볶이 > 크림떡볶이 > 크림떡볶이,6226608,음료/과자/가공식품 > 빵/케익/선물바구니 > 기타빵 > 슈크림,40.08%,low
54,54_짜장떡볶이,냉동식 > 떡볶이 > 짜장떡볶이 > 짜장떡볶이,6226579,음료/과자/가공식품 > 라면/면류 > 짜장/짬뽕/중국면 > 짜장,45.65%,low
55,55_허니치킨,냉동식 > 치킨 > 허니치킨 > 허니치킨,6236021,외식/미용/생활이용권 > 치킨/음식배달 > 치킨배달,41.06%,low
56,56_양념치킨,냉동식 > 치킨 > 양념치킨 > 양념치킨,6226686,음료/과자/가공식품 > 식자재 > 액상양념/소스 > 고기양념,43.35%,low
57,57_핫도그,냉동식 > 핫도그 > 핫도그 > 핫도그,6226601,음료/과자/가공식품 > 만두/탕/간편조리식 > 핫도그,61.48%,medium
58,58_피자,냉동식 > 피자 > 피자 > 피자,6226597,음료/과자/가공식품 > 만두/탕/간편조리식 > 피자 > 피자,66.02%,medium
59,59_감자튀김,냉동식 > 감자튀김 > 감자튀김 > 감자튀김,6226664,음료/과자/가공식품 > 식자재 > 냉장/냉동식품 > 튀김류,40.22%,low
60,60_돈까스,냉동식 > 돈까스 > 돈까스 > 돈까스,6226054,쌀/과일/농수축산물 > 가공육류 > 돈까스/탕수육 > 돈까스,63.33%,medium
61,61_치즈볼,냉동식 > 치즈볼 > 치즈볼 > 치즈볼,6235326,애완/곤충/관상어용품 > 강아지용품 > 간식 > 치즈,47.20%,low
62,62_치즈스틱,냉동식 > 치즈스틱 > 치즈스틱 > 치즈스틱,6228230,자동차용품/스쿠터 > 내장용품 > 페달 > 스틱형,46.02%,low
63,63_동그랑땡,냉동식 > 동그랑땡 > 동그랑땡 > 동그랑땡,6226669,음료/과자/가공식품 > 식자재 > 냉장/냉동식품 > 동그랑땡/전,53.25%,medium
64,64_떡갈비,냉동식 > 떡갈비 > 떡갈비 > 떡갈비,6226056,쌀/과일/농수축산물 > 가공육류 > 떡갈비,58.18%,medium
