old_code,old_category_path,new_code,new_category_path,similarity_score,match_status
18280000,쥬얼리/시계/선글라스 > 랩다이아몬드/모이사나이트,6222628,쥬얼리/시계/선글라스 > 랩다이아몬드/모이사나이트 >,94.64%,high_confidence
48040000,게임기/타이틀 > PSvita/PSP본체,6230329,게임기/타이틀 > PSvita/PSP본체 >,94.13%,high_confidence
48060000,게임기/타이틀 > XBOX360키넥트,6230343,게임기/타이틀 > XBOX360키넥트 >,93.14%,high_confidence
55020000,꽃/원예/팬시/선물 > 꽃/원예/팬시기타,6235406,꽃/원예/팬시/선물 > 꽃/원예/팬시기타 >,92.63%,high_confidence
29130000,스포츠의류/트레이닝 > 웨이크보드복/슈트,6225140,스포츠의류/트레이닝 > 웨이크보드복/슈트 >,92.63%,high_confidence
36280000,음료/과자/가공식품 > 시럽/조청/잼/꿀,6226921,음료/과자/가공식품 > 시럽/조청/잼/꿀 >,92.63%,high_confidence
53240000,휴대폰/스마트폰 > 휴대폰DMB수신기,6233845,휴대폰/스마트폰 > 휴대폰DMB수신기 >,92.55%,high_confidence
52140000,저장장치/메모리 > 저장장치 주변기기,6232992,저장장치/메모리 > 저장장치 주변기기 >,92.55%,high_confidence
48030000,게임기/타이틀 > PS3/PS2본체,6230321,게임기/타이틀 > PS3/PS2본체 >,92.50%,high_confidence
35101100,쌀/과일/농수축산물 > 닭고기 > 닭다리,6226219,쌀/과일/농수축산물 > 닭고기 >  닭다리,90.98%,high_confidence
24420000,주방/생활/이미용가전 > 가스레인지후드,6224086,주방/생활/이미용가전 > 가스레인지후드 >,90.97%,high_confidence
23290000,TV/냉장고/세탁기 > 사이니지 TV,6223762,TV/냉장고/세탁기 > 사이니지 TV >,90.92%,high_confidence
36270000,음료/과자/가공식품 > 냉장/냉동식품,6226917,음료/과자/가공식품 > 냉장/냉동식품 >,90.92%,high_confidence
19010000,국내/해외화장품 > 국내화장품기타,6222634,국내/해외화장품 > 국내화장품기타 >,90.82%,high_confidence
19080000,국내/해외화장품 > 베이스스킨케어,6222710,국내/해외화장품 > 베이스스킨케어 >,90.82%,high_confidence
49290000,미러리스/DSLR/디카 > XQD메모리,6230716,미러리스/DSLR/디카 > XQD메모리 >,89.81%,high_confidence
51130000,태블릿/MP3/이어폰 > MD플레이어,6232280,태블릿/MP3/이어폰 > MD플레이어 >,89.76%,high_confidence
18250000,쥬얼리/시계/선글라스 > 유아동주얼리,6222600,쥬얼리/시계/선글라스 > 유아동주얼리 >,89.76%,high_confidence
23280000,TV/냉장고/세탁기 > OLEDTV,6223761,TV/냉장고/세탁기 > OLEDTV >,89.71%,high_confidence
23270000,TV/냉장고/세탁기 > QLEDTV,6223760,TV/냉장고/세탁기 > QLEDTV >,89.71%,high_confidence
58010000,백화점/제화상품권 > 게임할인쿠폰,6236133,백화점/제화상품권 > 게임할인쿠폰 >,89.66%,high_confidence
58060000,백화점/제화상품권 > 삼성홈플러스,6236191,백화점/제화상품권 > 삼성홈플러스 >,89.66%,high_confidence
26170000,주방용품/수입주방 > 주방수납용품,6224567,주방용품/수입주방 > 주방수납용품 >,89.66%,high_confidence
11030000,남성의류 > 남성의류기타,6221166,남성의류 > 남성의류기타 >,89.29%,high_confidence
100300,여성의류 > 데님/청바지,6220806,여성의류 > 데님/청바지 >,89.29%,high_confidence
18180000,쥬얼리/시계/선글라스 > 쥬얼리기타,6222552,쥬얼리/시계/선글라스 > 쥬얼리기타 >,88.17%,high_confidence
45090000,공구/포장재/안전용품 > 보험잔존물,6229476,공구/포장재/안전용품 > 보험잔존물 >,88.17%,high_confidence
23260000,TV/냉장고/세탁기 > 세탁기부품,6223759,TV/냉장고/세탁기 > 세탁기부품 >,88.11%,high_confidence
39300000,자전거/헬스/스포츠 > 스키/보드,6227876,자전거/헬스/스포츠 > 스키/보드 >,88.11%,high_confidence
